0,0
Boston Celtics,/celtics/
Brooklyn Nets,/nets/
New York Knicks,/knicks/
Philadelphia 76ers,/sixers/
Toronto Raptors,/raptors/
Chicago Bulls,/bulls/
Cleveland Cavaliers,/cavaliers/
Detroit Pistons,/pistons/
Indiana Pacers,/pacers/
Milwaukee Bucks,/bucks/
Atlanta Hawks,/hawks/
Charlotte Hornets,/hornets/
Miami Heat,/heat/
Orlando Magic,/magic/
Washington Wizards,/wizards/
Denver Nuggets,/nuggets/
Minnesota Timberwolves,/timberwolves/
Oklahoma City Thunder,/thunder/
Portland Trail Blazers,/blazers/
Utah Jazz,/jazz/
Golden State Warriors,/warriors/
LA Clippers,/clippers/
Los Angeles Lakers,/lakers/
Phoenix Suns,/suns/
Sacramento Kings,/kings/
Dallas Mavericks,/mavericks/
Houston Rockets,/rockets/
Memphis Grizzlies,/grizzlies/
New Orleans Pelicans,/pelicans/
San Antonio Spurs,/spurs/
